id,question,answer,label
1943,"While foraging for food, a kiwi hears the sound of a predator. The kiwi",offers fruit to the predator as a peace offering.,0
1943,"While foraging for food, a kiwi hears the sound of a predator. The kiwi",gives food to the predator.,0
1943,"While foraging for food, a kiwi hears the sound of a predator. The kiwi",runs to a nearby burrow for shelter.,1
1943,"While foraging for food, a kiwi hears the sound of a predator. The kiwi",runs to the predator.,0
1944,"After having a severe allergic reaction to peanuts, Gerald",visited a tailor.,0
1944,"After having a severe allergic reaction to peanuts, Gerald",decided to foreswear peanuts.,1
1944,"After having a severe allergic reaction to peanuts, Gerald",purchased peanuts for friends and family.,0
1944,"After having a severe allergic reaction to peanuts, Gerald",kicked his neighbor's cat.,0
1945,Tom is good at study. He,is very happy.,0
1945,Tom is good at study. He,spent half an hours to understand a knowledge while others may need 10 days.,1
1945,Tom is good at study. He,lost his mind.,0
1945,Tom is good at study. He,spent half ten days to understand a knowledge while others may only need 1 day.,0
1946,"Tom live in Chicago and he wants to travel to Florida this winter, because",he loves rivers.,0
1946,"Tom live in Chicago and he wants to travel to Florida this winter, because",it's too dangerous here.,0
1946,"Tom live in Chicago and he wants to travel to Florida this winter, because",it's too cold here.,1
1946,"Tom live in Chicago and he wants to travel to Florida this winter, because",he loves mountains.,0
1947,I think I want some sushi tonight. I,will go spear dive for some fish.,0
1947,I think I want some sushi tonight. I,am going to hunt for some fish tonight in the Maldives.,0
1947,I think I want some sushi tonight. I,will jump into a cage with a chef and shark and ask him to make a meal for me.,0
1947,I think I want some sushi tonight. I,like tuna rolls.,1
1948,Tom is good at studying. He,spent ten days to understand a knowledge while others may only need 1 day.,0
1948,Tom is good at studying. He,lost his mind.,0
1948,Tom is good at studying. He,is very happy.,0
1948,Tom is good at studying. He,spent half an hours to understand a knowledge while others may need 10 days.,1
1949,Matt decided to get groceries on the way back from his other errands. Matt,killed two birds with one stone.,1
1949,Matt decided to get groceries on the way back from his other errands. Matt,is very hungry.,0
1949,Matt decided to get groceries on the way back from his other errands. Matt,likes fruit.,0
1949,Matt decided to get groceries on the way back from his other errands. Matt,slew the god-emperor.,0
1950,"I like roast turkeys. Though some people think they're a bit too dry, I",think if done properly they're wonderful.,1
1950,"I like roast turkeys. Though some people think they're a bit too dry, I",believe they can fly while being cooked in the oven.,0
1950,"I like roast turkeys. Though some people think they're a bit too dry, I",can throw them into the air.,0
1950,"I like roast turkeys. Though some people think they're a bit too dry, I",really want to turn them around.,0
1951,"At the concert,",a baseball team played catch.,0
1951,"At the concert,",security confronted a pickpocket.,1
1951,"At the concert,",the band drove home.,0
1951,"At the concert,",the crowd played on the monkey bars.,0
1952,"People are crossing the road when the light is green, while",the light turns blue,0
1952,"People are crossing the road when the light is green, while",cars stop,0
1952,"People are crossing the road when the light is green, while",cars are rushing by,1
1952,"People are crossing the road when the light is green, while",a children is flying across the road,0
