id,question,answer,label
0,What did the writer think of Timothy after learning about his typical day?,Timothy was very hardworking.,0
0,What did the writer think of Timothy after learning about his typical day?,Timothy was being mistreated.,0
0,What did the writer think of Timothy after learning about his typical day?,Timothy had a heavy burden.,1
0,What did the writer think of Timothy after learning about his typical day?,Timothy was enjoying his childhood.,0
1,Which of the following statements best describes the writer's opinion?,Children should be allowed enough time to play.,1
1,Which of the following statements best describes the writer's opinion?,Playing board games works better than playing video games.,0
1,Which of the following statements best describes the writer's opinion?,"The more they play, the more creative children will become.",0
1,Which of the following statements best describes the writer's opinion?,The depression caused by homework makes children unwilling to play.,0
2,"According to the passage, how long should a thirdgrader spend a day doing homework?",About ten minutes.,0
2,"According to the passage, how long should a thirdgrader spend a day doing homework?",No more than twenty minutes.,0
2,"According to the passage, how long should a thirdgrader spend a day doing homework?",No more than thirty minutes.,1
2,"According to the passage, how long should a thirdgrader spend a day doing homework?",About fifty minutes.,0
3,"According to the report,   _  .",people won't necessarily lose jobs,1
3,"According to the report,   _  .",big companies will face fewer challenges,0
3,"According to the report,   _  .",small companies will win against big companies,0
3,"According to the report,   _  .",most people will become interested in technology,0
4,We can infer from the text that in the future   _  .,people will face many difficulties,0
4,We can infer from the text that in the future   _  .,people will take up more creative jobs,1
4,We can infer from the text that in the future   _  .,artificial intelligence will threaten people's lives,0
4,We can infer from the text that in the future   _  .,most jobs will be done in traditional workplaces,0
5,What is the attitude of most experts in artificial intelligence and robotics to the future?,Mixed.,0
5,What is the attitude of most experts in artificial intelligence and robotics to the future?,Worried.,0
5,What is the attitude of most experts in artificial intelligence and robotics to the future?,Hopeful.,1
5,What is the attitude of most experts in artificial intelligence and robotics to the future?,Doubtful.,0
6,What would be the best title for this passage?,History of rings,1
6,What would be the best title for this passage?,Interesting facts about rings,0
6,What would be the best title for this passage?,Different beliefs about rings,0
6,What would be the best title for this passage?,The meaning of the rings.,0
7,Which is NOT true according to the passage?,The meaning of the rings remained unchanged.,0
7,Which is NOT true according to the passage?,One should be careful of choosing a ring in a shop from different kinds.,0
