id,question,answer,label
val_0,The reasoning in the argument is flawed because the argument,"ignores the fact that in a family business, paying family members low wages may itself reduce the family's prosperity",1
val_0,The reasoning in the argument is flawed because the argument,"presumes, without providing justification, that family members are willing to work for low wages in a family business because they believe that doing so promotes the family's prosperity",0
val_0,The reasoning in the argument is flawed because the argument,ignores the fact that businesses that achieve high levels of customer satisfaction are often profitable even if they pay high wages,0
val_0,The reasoning in the argument is flawed because the argument,"presumes, without providing justification, that only businesses with low general operating expenses can succeed",0
val_1,"If the statements above are true, which of the following must also be true on the basis of them?",People who are helped by business courses in solving management problems also have managerial talent.,1
val_1,"If the statements above are true, which of the following must also be true on the basis of them?",Those people who have never taken business courses are unable to solve management problems when such problems arise.,0
val_1,"If the statements above are true, which of the following must also be true on the basis of them?",People who lack managerial talent are more likely to take business courses than are people who have managerial talent.,0
val_1,"If the statements above are true, which of the following must also be true on the basis of them?",People who are already skilled at solving management problems are unlikely to benefit from business courses.,0
val_2,Which one of the following judgments most closely conforms to the principle cited by the philosopher?,"Louisa tried to get Henry into serious trouble by making it appear that he stole some expensive clothes from a store. But the store's detective realized what Louisa did, and so Louisa was punished rather than Henry. Since she intended to harm Henry, Louisa's action was not morally good.",0
val_2,Which one of the following judgments most closely conforms to the principle cited by the philosopher?,"Yolanda took her children to visit their grandfather because she wanted her children to enjoy their vacation and she knew they adored their grandfather. The grandfather and the children all enjoyed the visit. Though Yolanda greatly enjoyed the visit, her action was morally good.",1
val_2,Which one of the following judgments most closely conforms to the principle cited by the philosopher?,"Ellen worked overtime hoping to get a promotion. The extra money she earned allowed her family to take a longer vacation that year, but she failed to get the promotion. Nevertheless, Ellen's action was morally good.",0
val_2,Which one of the following judgments most closely conforms to the principle cited by the philosopher?,"Colin chose to lie to the authorities questioning him, in an attempt to protect his friends. The authorities discovered his deception and punished Colin and his friends severely. But because he acted out of love for his friends, Colin's action was morally good.",0
val_3,Which one of the following statements follows logically from the statements above?,Most lecturers who are good communicators are eccentric.,0
val_3,Which one of the following statements follows logically from the statements above?,Some noneccentric lecturers are effective teachers but are not good communicators.,0
val_3,Which one of the following statements follows logically from the statements above?,All good communicators are effective teachers.,0
val_3,Which one of the following statements follows logically from the statements above?,Some good communicators are eccentric.,1
val_4,Trent's argument assumes that,dinosaurs in the neighborhood of an asteroid impact but not within the zone of direct impact would have survived such an impact,0
val_4,Trent's argument assumes that,dust from the impact of an asteroid on the Earth would not have had any cooling effect on the climate,0
val_4,Trent's argument assumes that,no more than one large asteroid struck the Earth during the period when the dinosaurs were becoming extinct,1
val_4,Trent's argument assumes that,any collision of an asteroid with the Earth would have occurred on a land area rather than an ocean,0
val_5,"Which one of the following, if true, most weakens the argument?",The people who are the most likely to take sleeping pills rather than practice behavior modification techniques are those who have previously had the most trouble falling asleep.,1
val_5,"Which one of the following, if true, most weakens the argument?",People who do not take sleeping pills spend at least as many total hours asleep each night as do the people who take sleeping pills.,0
val_5,"Which one of the following, if true, most weakens the argument?",Most people who have trouble falling asleep and who use behavior modification techniques fall asleep more slowly than do most people who have no trouble falling asleep.,0
val_5,"Which one of the following, if true, most weakens the argument?",The people who are the most likely to practice behavior modification techniques rather than take sleeping pills are those who prefer not to use drugs if other treatments are available.,0
val_6,"Which one of the following, if true, most helps to resolve the apparent discrepancy presented above?",The public would not support the military action unless it was known that the parliament supported the action.,0
val_6,"Which one of the following, if true, most helps to resolve the apparent discrepancy presented above?","In the parliamentary leader's nation, it is the constitutional prerogative of the parliament, not of the prime minister, to initiate foreign military action.",1
val_6,"Which one of the following, if true, most helps to resolve the apparent discrepancy presented above?",The UN Security Council cannot legally commit the military of a member nation to armed intervention in other countries.,0
val_6,"Which one of the following, if true, most helps to resolve the apparent discrepancy presented above?","Members of the parliament traditionally are more closely attuned to public sentiment, especially with regard to military action, than are prime ministers.",0
val_7,The argument above assumes which of the following?,"Without the incentives offered by federal income tax laws, at least some wealthy individuals would not donate as much money to charitable and educational institutions as they otherwise would have.",1
val_7,The argument above assumes which of the following?,The primary reason for not adopting the proposed change in the federal income tax laws cited above is to protect wealthy individuals from having to pay higher taxes.,0
val_7,The argument above assumes which of the following?,Money contributed by individuals who make their donations because of provisions in the federal tax laws provides the only source of funding for many charitable and educational institutions.,0
val_7,The argument above assumes which of the following?,Income tax laws should be changed to make donations to charitable and educational institutions the only permissible deductions from taxable income.,0
val_8,The argument is vulnerable to criticism on which one of the following grounds?,It gives no indication of either the basis of Mayor Smith's former opposition to nuclear power plant construction or the reasons for her support for the Littletown project.,1
val_8,The argument is vulnerable to criticism on which one of the following grounds?,It assumes without warrant that the qualities enabling a person to be elected to public office confer on that person a grasp of the scientific principles on which technical decisions are based.,0
val_8,The argument is vulnerable to criticism on which one of the following grounds?,It fails to establish that a consistent and outspoken opposition is necessarily an informed opposition.,0
val_8,The argument is vulnerable to criticism on which one of the following grounds?,It overlooks the possibility that not all those who fail to speak out on issues of nuclear power are necessarily opposed to it.,0
val_9,Which one of the following can be properly inferred from the statements above?,Government officials who conceal information without a compelling reason are thereby guilty of an abuse of power.,0
val_9,Which one of the following can be properly inferred from the statements above?,Government officials should keep information secret only if doing so does not make it easier for those officials to abuse their power.,0
val_9,Which one of the following can be properly inferred from the statements above?,A government official who justifiably keeps a secret should not conceal its existence without having a compelling reason to do so.,1
val_9,Which one of the following can be properly inferred from the statements above?,"In most cases in which government officials conceal information from the public, they are not justified in doing so.",0
val_10,"The statements above, if true, best support which of the following as a conclusion?",Computers ought to be designed to break down more quickly than is presently the case.,0
val_10,"The statements above, if true, best support which of the following as a conclusion?",Computers utilizing the latest technology represent substantial functional upgrades from earlier computers.,0
val_10,"The statements above, if true, best support which of the following as a conclusion?",American consumers are motivated to purchase new computers by some combination of factors other than their current computer's ability to perform basic functions.,1
val_10,"The statements above, if true, best support which of the following as a conclusion?",Improved manufacturing techniques have led to computers lasting longer than was possible in the past.,0
val_11,Which of the following hypotheses best accounts for the findings of the experiment?,The neurons of the brain react less when a subject is trying to recognize patterns than when the subject is doing other kinds of reasoning.,0
val_11,Which of the following hypotheses best accounts for the findings of the experiment?,The energy expenditure of the subjects' brains increases when a design that completes the initially recognized pattern is determined.,0
val_11,Which of the following hypotheses best accounts for the findings of the experiment?,People who are better at abstract pattern recognition have more energy-efficient neural connections.,1
val_11,Which of the following hypotheses best accounts for the findings of the experiment?,"The task of completing a given design is more capably performed by athletes, whose energy expenditure is lower when they are at rest.",0
val_12,Which one of the following is an assumption that the researcher's argument requires?,"Many, if not all, of the scents that have a tendency to reduce susceptibility to illness do so, at least in part, by reducing stress.",0
val_12,Which one of the following is an assumption that the researcher's argument requires?,At least some people who use the scent of lavender to induce relaxation and reduce stress are no more susceptible to illness than average.,0
val_12,Which one of the following is an assumption that the researcher's argument requires?,Some people who regularly inhale the scent of lavender would otherwise be under enough stress to impair their immune systems.,1
val_12,Which one of the following is an assumption that the researcher's argument requires?,Reduced stress diminishes susceptibility to illness only for people who are under enough stress to impair their immune systems to at least some degree.,0
val_13,Which one of the following is an argumentative strategy employed in the argument?,trying to undermine support for a certain policy by pointing out that factors other than the policy itself could account for the results attributed to that policy,0
val_13,Which one of the following is an argumentative strategy employed in the argument?,providing evidence that because the officials charged with enforcing a certain policy often fail to perform their duty that policy is sure to have little effect,0
