id,question,answer,label
0,Why is this person asking about divorce ?,If he gets married in the church he wo nt have to get a divorce .,0
0,Why is this person asking about divorce ?,He wants to get married to a different person .,1
0,Why is this person asking about divorce ?,He wants to know if he does nt like this girl can he divorce her ?,0
0,Why is this person asking about divorce ?,None of the above choices .,0
1,Why is he worried about getting married ?,He was married before and she might come back one day .,1
1,Why is he worried about getting married ?,He wants the girl he is going to marry get in trouble .,0
1,Why is he worried about getting married ?,He knows that he will be committing polygamy .,0
1,Why is he worried about getting married ?,None of the above choices .,0
2,What may happen after the young man makes his call ?,An ambulance would likely come to the scene,1
2,What may happen after the young man makes his call ?,The taxi would pick up the young man,0
2,What may happen after the young man makes his call ?,None of the above choices .,0
2,What may happen after the young man makes his call ?,The bus would arrive at the stop soon,0
3,What may happen after the young man makes his call ?,None of the above choices .,0
3,What may happen after the young man makes his call ?,The bus would arrive at the stop soon,0
3,What may happen after the young man makes his call ?,The taxi would pick up the young man,0
3,What may happen after the young man makes his call ?,Medical personnel would come to help the old man,1
4,What may have happened to the old man ?,He was waiting on a ride,0
4,What may have happened to the old man ?,He likely fell on the sidewalk and hit his head while intoxicated,1
4,What may have happened to the old man ?,He was waiting on the taxi,0
4,What may have happened to the old man ?,None of the above choices .,0
5,What may have happened to the old man ?,None of the above choices .,1
5,What may have happened to the old man ?,He was waiting on the taxi,0
5,What may have happened to the old man ?,He was waiting for the bus,0
5,What may have happened to the old man ?,He was waiting on a ride,0
6,Why did the school bus not show up until 20 til 8 ?,Because it was late .,1
6,Why did the school bus not show up until 20 til 8 ?,Because the writer mentioned it yesterday .,0
6,Why did the school bus not show up until 20 til 8 ?,Because Little Miss was 25 minutes late for school .,0
6,Why did the school bus not show up until 20 til 8 ?,Because it was 10 minutes before the start of school .,0
7,What may have caused your feeling of serenity ?,I was able to separate myself from the wold .,1
7,What may have caused your feeling of serenity ?,I was driving my car at a cool 30 mph .,0
7,What may have caused your feeling of serenity ?,I started thinking about the six billion people in the world .,0
7,What may have caused your feeling of serenity ?,I was meditating and felt serenity .,0
8,Why is it so important that Tater does well in school ?,So he makes me look good to the school that I graduated from .,0
8,Why is it so important that Tater does well in school ?,It is realistically not important at all but I like it .,0
8,Why is it so important that Tater does well in school ?,It allows me to be able to brag to other people about him .,0
8,Why is it so important that Tater does well in school ?,It is a precursor to understanding his success in future endeavors .,1
9,How would this person be classified ?,Moderate,1
9,How would this person be classified ?,Liberal,0
9,How would this person be classified ?,Conservative,0
9,How would this person be classified ?,None of the above choices .,0
10,How would this person be classified ?,None of the above choices .,0
10,How would this person be classified ?,Liberal,0
10,How would this person be classified ?,Conservative,0
10,How would this person be classified ?,Indpendent,1
11,What may be a result of her watching the event ?,she becomes angry with her husband,0
11,What may be a result of her watching the event ?,She confirms her biases,0
11,What may be a result of her watching the event ?,She makes informed decisions,1
11,What may be a result of her watching the event ?,None of the above choices .,0
12,What may have caused your throat to be raw ?,There 's some germs in there .,1
12,What may have caused your throat to be raw ?,My throat is infected .,0
12,What may have caused your throat to be raw ?,None of the above choices .,0
12,What may have caused your throat to be raw ?,It feels that way after I use my inhaler .,0
